person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,RENT,OWN,MORTGAGE,OTHER,PERSONAL,EDUCATION,MEDICAL,VENTURE,HOMEIMPROVEMENT,DEBTCONSOLIDATION,age_category
0.10526315789473695,0,1,0.4505237997423017,0.0,0.19955654101995568,0.17501764290755117,0.16216216216216214,0.15384615384615385,0.09090909090909105,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.26315789473684204,0,2,0.5279328739581584,0.1111111111111111,0.6317960088691795,0.6019760056457304,0.43243243243243246,0.0,0.5127272727272729,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.21052631578947367,1,3,0.36392099742924194,0.0,0.5099778270509977,0.39449541284403666,0.48648648648648646,0.15384615384615385,0.7345454545454546,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.10526315789473695,0,1,0.4416661998219766,0.0,0.2660753880266076,0.27028934368383906,0.21621621621621623,0.15384615384615385,0.5490909090909091,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.1578947368421053,1,1,0.40509047450094304,0.1111111111111111,0.3617668251260706,0.2964008468595625,0.8918918918918919,0.0,0.37090909090909085,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.10526315789473695,0,3,0.389261327208331,0.0,0.15521064301552107,0.13196894848271,0.16216216216216214,0.07692307692307693,0.301818181818182,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.10526315789473695,1,3,0.48002838415715865,0.05555555555555555,0.3325942350332594,0.15808045165843332,0.24324324324324323,0.15384615384615385,0.5745454545454545,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.9999999999999998,0,0,0.3300591959067058,0.8888888888888888,0.5099778270509977,0.4438955539872972,0.5405405405405406,1.0,0.37090909090909085,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
0.3157894736842104,1,3,0.227851331752286,0.3333333333333333,0.22172949002217296,0.36908962597036,0.3243243243243243,0.0,0.5018181818181817,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.631578947368421,0,0,0.20304631721785465,0.6666666666666666,0.3845676274944568,0.17431192660550454,0.6216216216216216,0.5384615384615384,0.5236363636363637,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
0.7894736842105263,1,3,0.48638369653850233,0.6666666666666666,0.08314855875831485,0.27028934368383906,0.08108108108108107,0.5384615384615384,0.6000000000000003,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
0.42105263157894735,1,0,0.37646978269935827,0.16666666666666666,0.08425720620842572,0.6047988708539168,0.10810810810810811,0.3076923076923077,0.5636363636363637,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
